StoreID;StoreCode;StoreName;DITOStoreID;Address;Province;PriceRegion;StoreTypeID;StateID;Country;ReportingStatus;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
658;5EAH;STERKSPRUIT GARAGE;658;MAIN ROAD.STERKSPRUIT;CAPE EAST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - CAPE EAST;Cape East;SOUTH AFRICA;TRUE;;;;;;;;;;;
659;5LDE;HIPPO PARK CONVENIENCE CENTRE;659;231 Queen Nandi Dr, Newlands East, 4037.;EASTERN REGION;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - EASTERN REGION;Eastern region;SOUTH AFRICA;TRUE;;;;;;;;;;;
660;7PFH;KAALFONTEIN CONVENIENCE CENTRE;660;3117 Archerfish Dr, Kaalfontein, Midrand, 1632.;GAUTENG CENTRAL;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG CENTRAL;Gauteng Central;SOUTH AFRICA;TRUE;;;;;;;;;;;
661;5LDQ;MONDLANO CONVENIENCE CENTRE;661;Curnick Ndlovu Hwy, Lindley, Inanda, 4309.;EASTERN REGION;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - EASTERN REGION;Eastern region;SOUTH AFRICA;TRUE;;;;;;;;;;;
662;2EKM;KLOOF STREET MOTORS;662;61 KLOOF STREET.CAPE TOWN;CAPE WEST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - CAPE WEST;Cape West;SOUTH AFRICA;TRUE;;;;;;;;;;;
663;7PFG;ENGEN EVATON WEST;663;Cnr Golden Highway and, King Moshoeshoe St, Evaton West, Evaton, 1984.;GAUTENG SOUTH WEST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG SOUTH WEST;Gauteng South West;SOUTH AFRICA;TRUE;;;;;;;;;;;
664;42AT;MOGODITSANE SERVICE STATION;664;Mogoditshane, Off Molepolole, Road, Botswana.;SOUTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
665;42BI;ENGEN LOBATSE;665;Lobatse, Botswana.;SOUTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
666;42AH;PHAKALANE SERVICE STATION;666;Gaborone, Botswana.;SOUTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
667;42BK;ENGEN SEROWE;667;Serowe Botswana;NORTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
668;42BU;ENGEN CBD (PTY) LTD;668;Unknown;SOUTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
669;42BY;ENGEN MOLEPOLOLE SERVICES STATION;669;Molepolole, Botswana.;SOUTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
670;42BN;ENGEN MONARCH;670;Francistown, Botswana.;NORTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
671;42CD;ENGEN PHAPHANE;671;Mochudi, Botswana.;SOUTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
672;42CE;ENGEN MMOPANE;672;Mmopane, Botswana.;SOUTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
673;44CC;PARK VIEW FILLING STATION;673;1 Hindle Rd, Brentwood Park, Cape Town, 7100.;NORTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
674;42AD;SOUTHBRIDGE SERVICE STATION;674;701 SOLOMON MAHLANGU DRIVE;NORTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
675;42AF;SCREEN ARCH SERVICE STATION (PULA);675;Gaborone West, Gaborone, Botswana, ;SOUTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
676;42AG;BONTLENG SERVICE STATION;676;Moretlwa, Gaborone, Botswana.;SOUTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
677;42AO;ENGEN MAHALAPYE;677;Mahalapye, Botswana;SOUTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
678;42BM;ENGEN TATI;678;Francistown Botswana;NORTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
679;42CC;ENGEN SATELLITE;679;57 Wetton Rd, Kenilworth, Cape Town, 7708.;NORTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
680;A213;MARGINAL(ATCM) (7MAR;680;UNKNOWN;UNKNOWN;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
681;A216;MATOLA 1 STOP(JACARA;681;Matola Mozambique;UNKNOWN;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
682;A214;MACHAVA(COCA COLA);682;Matola, Mozambique;UNKNOWN;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
683;A349;INDUSTRIAL SERVICE STATION;683;224 MAIN REEF RD.LANGLAAGTE;EASTERN REGION;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - EASTERN REGION;Eastern region;SOUTH AFRICA;TRUE;;;;;;;;;;;
684;A428;CHELSTON SERVICE STATION;684;Ottery Rd, Ottery, Cape Town, 7800.;UNKNOWN;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
685;A444;LONGACRES SERVICE STATION;685;Los Angeles Blvd, Lusaka, Zambia.;UNKNOWN;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
686;A447;LEOPARDS HILL SERVICE STATION;686;Leopards Hill Rd, Lusaka, Zambia.;UNKNOWN;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
687;A468;ENGEN LA CROISETTE SSTN;687;Grand Baie, Riviere Du Rempart, Mauritius;UNKNOWN;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
688;A448;MAKISHI SERVICE STATION;688;Lusaka, Zambia.;UNKNOWN;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
689;A459;PANGANANI SERVICE STATION;689;Lusaka, Zambia;UNKNOWN;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
690;A419;CHACHACHA SERVICE STATION;690;Cnr Great East & Manchinchi Road Lusaka ZM, 10101, Zambia;UNKNOWN;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
691;A420;CHAINAMA HILLS SERVICE STATION;691;T4, Lusaka, Zambia.;UNKNOWN;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
692;A433;FALLSPARK SERVICE STATION;692;Livingstone, Zambia;UNKNOWN;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
693;A215;CARTIM (MALHANGALENE);693;Maputo, Mozambique;UNKNOWN;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
694;5LBU;WATERFALL CONVENIENCE CENTRE;694;6 Link Rd, Waterfall, 3610.;EASTERN REGION;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - EASTERN REGION;Eastern region;SOUTH AFRICA;TRUE;;;;;;;;;;;
695;4BRM;RUNDU SERVICE CENTRE 1-STOP;695;TRANS CAPRIVI HIGHWAY.RUNDU;NORTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
696;8CTR;VIEW SERVICE STATION;696;Cnr Lever Rd & Azalea Ave, 1687 Midrand;GAUTENG CENTRAL;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG CENTRAL;Gauteng Central;SOUTH AFRICA;TRUE;;;;;;;;;;;
697;7FQE;ARCON PARK SERVICE STATION;697;Cnr Ring Rd &, Arum St, Arcon Park, Vereeniging, 1939.;GAUTENG SOUTH WEST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG SOUTH WEST;Gauteng South West;SOUTH AFRICA;TRUE;;;;;;;;;;;
698;4BQG;HOCHLAND SERVICE STATION;698;Pelican Street, Windhoek, Namibia.;CENTRAL REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
699;4BQH;KATUTURA SERVICE STATION;699;Mungunda St, Katutura, Windhoek.;CENTRAL REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
700;4BQD;KATIMA ONE STOP;700;MPACHA ROAD.KATIMA MULILO;NORTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
701;2HMU;HELDERBERG CONVENIENCE CENTRE;701;2 SCHAPENBERG ROAD.SOMERSET WEST;CAPE WEST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - CAPE WEST;Cape West;SOUTH AFRICA;TRUE;;;;;;;;;;;
702;7PAT;GT ATLAS CONVENIENCE CENTRE;702;Cnr Atlas & Tempelhof South Kempton Park;GAUTENG EAST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG EAST;Gauteng East;SOUTH AFRICA;TRUE;;;;;;;;;;;
703;4BRD;SWAKOP TRUCK PORT;703;NELSON MANDELA AVENUE.4004 EXTENSION;COASTAL REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
704;4Z07;MARIENTAL FUEL CENTRE;704;B1 NATIONAL ROAD & RIVER BANK.MARIENTAL;SOUTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
705;4BBL;ONESHILA SERVICE STATION;705;Oshakati, Namibia.;NORTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
706;4BHJ;SUBWAY SERVICE STATION;706;141 MANDUME NDEMUFAYO.SOUTHERN IND. AREA;CENTRAL REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
707;4BRC;LE PLATZ SERVICE STATION;707;Tsumeb, Tsumeb Namibia;NORTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
708;4BRQ;OKAHANDJA ONE STOP;708;17 VOORTREKKER STREET.OKAHANDJA;NORTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
709;4BAR;EASTERN ONE-STOP;709;CNR CHURCH & PARK STREETS.GOBABIS;EASTERN REGION;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - EASTERN REGION;Eastern region;SOUTH AFRICA;TRUE;;;;;;;;;;;
710;4BBE;KLINGENBERG FUEL CENTRE;710;192 MANDUME NDEMUFAYO AVENUE.WINDHOEK;CENTRAL REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
711;4BQF;KEETMANS 1-STOP;711;B1 NATIONAL ROAD.KEETMANSHOOP;SOUTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
712;4BQK;WALVIS BAY CONVENIENCE CENTRE;712;CNR SAM NUJOMA DR & 10TH AVENUE.WALVIS BAY;COASTAL REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
713;4BAH;JAKARANDA SERVICE STATION;713;33 HAGE GEINGOB STREET.OTJIWARONGO;NORTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
714;4BBW;OKAHANDJA SERVICE STATION;714;17 VOORTREKKER STREET.OKAHANDJA;NORTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
715;4BCD;EUREKA SERVICE STAION;715;CNR INDEPENDENCE AVE & UHLAND STREET.WINDHOEK;CENTRAL REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
716;4BCF;ENGEN SWAKOPMUND SERVICE STATION;716;Sam Nujoma Ave, Swakopmund, Namibia.;COASTAL REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
717;4BCJ;NOORDOEWER ONE STOP SERVICE STATION;717;Noordoewer, Namibia.;SOUTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
718;4BCR;PRESIDENT'S CROSSING;718;20 Tokai Rd, Dreyersdal, Cape Town, 7966.;CENTRAL REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
719;4BPH;RUNDU TRUCKSTOP;719;MAIN ROAD & EUGENE KAKUKURU STREET.RUNDU;NORTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
720;4BBC;JAN JONKER SERVICE STATION;720;174 JAN JONKER STREET.AUSPANNPLATZ;CENTRAL REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
721;4BCK;KARIBIB ENGEN;721;Park St, Karibib, Namibia.;COASTAL REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
722;4BCP;GATEWAY QUICKSHOP;722;Sarel Baard Cres, Rooihuiskraal, Centurion, 0157.;NORTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
723;4BHX;MONTE CHRISTO CONVEVIENCE CENTRE;723;PLOT 89 LAFRENZ.CNR MONTE CHRISTO & BRAKWATER ROAD;CENTRAL REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
724;4BQW;OLUNKONO SERVICE STATION;724;OSHAKATI – ONDANGWA MAIN ROAD.OSHAKATI;NORTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
725;4BRE;BONSMARA STREET SERVICE STATION;725;CNR BONSMARA & DORTMUND STREETS NORTHERN INDUSTRIAL AREA .;CENTRAL REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
726;4BRF;STEIN SERVICE STATION;726;Palladium Street, Windhoek, Namibia.;CENTRAL REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
727;4BRP;QUERIDAS TRADING ENTERPRISES (PTY);727;Oshana Namibia,;NORTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
728;8BKV;SEFANJA CONVENIENCE CENTRE;728;Swakara Ave, Keetmanshoop, Namibia.;SOUTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
729;8BFC;BONAMANZI SERVICE STATION;729;Uitsig Rd, Astra Park, Kingsburgh, 4126.;EASTERN REGION;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - EASTERN REGION;Eastern region;SOUTH AFRICA;TRUE;;;;;;;;;;;
730;7PFM;MOUTSIYA CONVENIENCE CENTRE;730;Moutsiya Mall, Cnr R568 and R578 roads, Siyabuswa;INLAND NORTH;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - INLAND NORTH;Inland North;SOUTH AFRICA;TRUE;;;;;;;;;;;
731;7PKU;PHOLA PARK CONVENIENCE CENTRE;731;Phola Park, KwaMhlanga.;INLAND NORTH;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - INLAND NORTH;Inland North;SOUTH AFRICA;TRUE;;;;;;;;;;;
732;8BKW;OLYMPIA SERVICE STATION;732;Windhoek, Namibia.;CENTRAL REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
733;42BV;ENGEN TLOKWENG;733;Gaborone, Botswana.;SOUTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
734;42BW;ENGEN CHARLESHILL;734;Charles Hill, Botswana.;SOUTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
735;7BAF;DIAGOROGA FILLING STATION;735;Unknown;SOUTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
736;42AJ;HEMAMO INVESTMENTS SERVICE STATION;736;Plot 144/1 GIFC, Gaborone, Botswana.;SOUTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
737;42BZ;ENGEN TSOLAMOSESE SERVICE STATION;737;Gaborone, Botswana.;SOUTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
738;42CF;ENGEN COMMERCE PARK;738;Plot-64, unit 29, Commerce Park Gaborone, Botswana;SOUTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
739;7BAU;ENGEN NATA FILLING STATION;739;337, Francistown, Botswana;NORTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
740;7BVA;ADMIRAL ENTERPRISES PTY LTD;740; 78, Maun, Botswan;NORTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
741;A521;ENGEN KAZUNGULA SERVICE STATION;741;Botswana.;NORTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
742;7Z05;BLUE JACKET FILLING STATION;742;Morgenster Rd, Mitchells Plain, Cape Town, 7785.;NORTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
743;7Z15;TRUCK INN SERVICE STATION;743;Gaborone, Botswana.;SOUTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
744;A471;BUS STOP SERVICE STATION;744;Racecourse Rd, Marconi Beam, Cape Town, 7447.;NORTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
745;A541;ENGEN ORAPA;745;Orapa, Botswana.;NORTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
746;A646;BOBONONG SERVICE STATION;746;Bobonong, Botswana.;NORTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
747;A635;THAMAGA SERVICE STATION;747; Gaborone, Botswana;SOUTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
748;7QUV;CITY DEEP CONVENIENCE;748;Vickers Rd, City Deep, Johannesburg South, 2197.;GAUTENG CENTRAL;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG CENTRAL;Gauteng Central;SOUTH AFRICA;TRUE;;;;;;;;;;;
749;5EWT;KHYBER FUELS;749;56 KAREL LANDMAN STREET.DUNDEE;EASTERN REGION;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - EASTERN REGION;Eastern region;SOUTH AFRICA;TRUE;;;;;;;;;;;
750;7PLT;ECALENI CONVENIENCE CENTRE;750;63 Nyoni Cir, Ecaleni, Tembisa, 1626.;GAUTENG CENTRAL;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG CENTRAL;Gauteng Central;SOUTH AFRICA;TRUE;;;;;;;;;;;
751;8BEA;DROOMERS GARAGE;751;83 Main Rd, Somerset West, Cape Town, 7130.;CAPE WEST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - CAPE WEST;Cape West;SOUTH AFRICA;TRUE;;;;;;;;;;;
752;A558;MAMASHIA SERVICE STATION;752;Lot 958-KP, plot 3, Mmamashia, Greater North, Botswana.;SOUTHERN REGION;ENGEN - UNKNOWN;ENGEN - UNKNOWN - UNKNOWN;Unknown;UNKNOWN;TRUE;;;;;;;;;;;
753;5LFM;GALLERIA CONVENIENCE CENTRE;753;Moss Kolnick Dr, Umbogintwini, Amanzimtoti, 4126.;EASTERN REGION;ENGEN - QUICKSHOP WITH WW;ENGEN - QUICKSHOP WITH WW - EASTERN REGION;Eastern region;SOUTH AFRICA;TRUE;;;;;;;;;;;
754;2EJH;HILLSIDE MOTORS;754;Cnr The Hills St &, Durbanville Ave, Durbanville, Cape Town, 7550.;CAPE WEST;ENGEN - QUICKSHOP WITH WW;ENGEN - QUICKSHOP WITH WW - CAPE WEST;Cape West;SOUTH AFRICA;TRUE;;;;;;;;;;;
755;5LFK;IKWEZI CONVENIENCE CENTRE;755;Cnr Tutor Ndamase &, Errol Spring Ave, Mthatha, 5100.;CAPE EAST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - CAPE EAST;Cape East;SOUTH AFRICA;TRUE;;;;;;;;;;;
756;2HND;LANGVERWACHT CONVENIENCE CENTRE;756;Cnr Langverwacht Rd &, Fisant St, Kuils River, Cape Town, 7580.;CAPE WEST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - CAPE WEST;Cape West;SOUTH AFRICA;TRUE;;;;;;;;;;;
757;7PNB;TIBANE CONVENIENCE CENTRE;757;Cnr R567 &, Juno Road, Tibane, 0748.;INLAND NORTH;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - INLAND NORTH;Inland North;SOUTH AFRICA;TRUE;;;;;;;;;;;
758;5LCV;STAPLETON ROAD;758;75 Stapleton Rd, New Germany, Pinetown, 3610.;EASTERN REGION;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - EASTERN REGION;Eastern region;SOUTH AFRICA;TRUE;;;;;;;;;;;
759;7PFV;KLARINET EXT 8 CONVENIENCE CENTRE;759;Carmen St, Klarinet, Emalahleni, 1034;GAUTENG EAST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG EAST;Gauteng East;SOUTH AFRICA;TRUE;;;;;;;;;;;
760;7PGE;KLARINET EXT 6 CONVENIENCE CENTRE;760;Blesboklaagte 296-Js, Emalahleni;GAUTENG EAST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG EAST;Gauteng East;SOUTH AFRICA;TRUE;;;;;;;;;;;
761;7PKF;14TH AVENUE CONVENIENCE CENTRE;761;14th Avenue District Shopping Centre Cnr William Nicol &, Constantia Dr, Constantia Kloof, Johannesburg, 1709.;GAUTENG SOUTH WEST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG SOUTH WEST;Gauteng South West;SOUTH AFRICA;TRUE;;;;;;;;;;;
762;7PHK;BUSHBUCKRIDGE INTEGRATED ENERGY CEN;762;R40, Dwarsloop-A, Arthurs Seat, 1280.;INLAND NORTH;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - INLAND NORTH;Inland North;SOUTH AFRICA;TRUE;;;;;;;;;;;
763;7PLU;MIDDLEVLEI CONVENIENCE CENTRE;763;Blaauwklippen Rd, Paradyskloof, Stellenbosch, 7600.;GAUTENG SOUTH WEST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG SOUTH WEST;Gauteng South West;SOUTH AFRICA;TRUE;;;;;;;;;;;
764;2HMV;CROYDON CONVENIENCE CENTRE;764;Cnr Old Main &, Kramat Rd, Croydon, Cape Town, 7110.;CAPE WEST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - CAPE WEST;Cape West;SOUTH AFRICA;TRUE;;;;;;;;;;;
765;7PMF;BIG BIRD 1 STOP SOUTH;765;New Road Junction, New Rd, Carlswald, Midrand, 1685.;GAUTENG CENTRAL;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG CENTRAL;Gauteng Central;SOUTH AFRICA;TRUE;;;;;;;;;;;
766;7PJR;CLEWER CONVENIENCE CENTRE;766;Schoongezicht 308-Js, Emalahleni;GAUTENG EAST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG EAST;Gauteng East;SOUTH AFRICA;TRUE;;;;;;;;;;;
767;7PLN;THOHOYANDOU CONVENIENCE CENTRE;767;R524, Beuster, Thohoyandou, 095;INLAND NORTH;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - INLAND NORTH;Inland North;SOUTH AFRICA;TRUE;;;;;;;;;;;
