StoreID;StoreCode;StoreName;DITOStoreID;Address;Province;PriceRegion;StoreTypeID;StateID;Country;ReportingStatus;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
586;5LCN;NORTH COAST 1-STOP SOUTH;586;N2 HIGHWAY.BETWEEN MTUNZINI & RICHARDS BAY;EASTERN REGION;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - EASTERN REGION;Eastern region;SOUTH AFRICA;TRUE;;;;;;;;;;;
587;5LCP;NORTH COAST 1 STOP NORTH;587;N2 HIGHWAY.BETWEEN MTUNZINI & RICHARDS BAY;EASTERN REGION;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - EASTERN REGION;Eastern region;SOUTH AFRICA;TRUE;;;;;;;;;;;
588;7PAG;ENGEN BURGERSFORT;588;Dirk Winterbach St, Burgersfort, 1150.;GAUTENG EAST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG EAST;Gauteng East;SOUTH AFRICA;TRUE;;;;;;;;;;;
589;8BFB;WHYTES AUTO;589;1 Currie St, Quigney, East London, 5201.;CAPE EAST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - CAPE EAST;Cape East;SOUTH AFRICA;TRUE;;;;;;;;;;;
590;8DAH;JANMY DIENSTE;590;19a Samora Machel St, Middelburg, 1055.;GAUTENG EAST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG EAST;Gauteng East;SOUTH AFRICA;TRUE;;;;;;;;;;;
591;6DMW;FLORIDA CONVENIENCE CENTRE;591;7 Goldman St, Florida, Roodepoort, 1709.;GAUTENG SOUTH WEST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG SOUTH WEST;Gauteng South West;SOUTH AFRICA;TRUE;;;;;;;;;;;
592;7PBD;OLIEVENHOUTBOSCH CONVENIENCE CENTRE;592;MAIN ROAD (R55).BLUE HILLS;GAUTENG CENTRAL;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG CENTRAL;Gauteng Central;SOUTH AFRICA;TRUE;;;;;;;;;;;
593;5TDF;FUEL A LOT CONVENIENCE CENTRE;593;38 VAN RIEBEECK STREET.OLIFANTSHOEK;FREESTATE;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - FREESTATE;Freestate;SOUTH AFRICA;TRUE;;;;;;;;;;;
594;7FVT;VOORWAARTS MOTORS;594;HENDRIK POTGIETER STREET.VENTERSDORP;FREESTATE;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - FREESTATE;Freestate;SOUTH AFRICA;TRUE;;;;;;;;;;;
595;2HMN;DURBANVILLE CONVENIENCE CENTRE;595;CNR WELLINGTON & NEW ROAD.DURBANVILLE;CAPE WEST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - CAPE WEST;Cape West;SOUTH AFRICA;TRUE;;;;;;;;;;;
